state,fire_type,area_ha,area_Mha
Australian Capital Territory,Planned,36,0.0
Australian Capital Territory,Unplanned,88242,0.088
New South Wales,Planned,4403,0.004
New South Wales,Unplanned,5429872,5.43
Northern Territory,Planned,4734954,4.735
Northern Territory,Unplanned,7830582,7.831
Queensland,Planned,1525279,1.525
Queensland,Unplanned,4383865,4.384
South Australia,Planned,2154,0.002
South Australia,Unplanned,319764,0.32
Tasmania,Planned,34215,0.034
Tasmania,Unplanned,42554,0.043
Victoria,Planned,24388,0.024
Victoria,Unplanned,1514686,1.515
Western Australia,Planned,190834,0.191
Western Australia,Unplanned,1183529,1.184
