season,state,area_ha,area_Mha
2016-17,Australian Capital Territory,648,0.001
2016-17,New South Wales,289727,0.29
2016-17,Northern Territory,11911645,11.912
2016-17,Queensland,7525259,7.525
2016-17,South Australia,36130,0.036
2016-17,Tasmania,63768,0.064
2016-17,Victoria,60905,0.061
2016-17,Western Australia,1060987,1.061
2017-18,Australian Capital Territory,1635,0.002
2017-18,New South Wales,299364,0.299
2017-18,Northern Territory,29842669,29.843
2017-18,Queensland,5935390,5.935
2017-18,South Australia,140618,0.141
2017-18,Tasmania,49923,0.05
2017-18,Victoria,94509,0.095
2017-18,Western Australia,745200,0.745
2018-19,Australian Capital Territory,2504,0.003
2018-19,New South Wales,274264,0.274
2018-19,Northern Territory,18306379,18.306
2018-19,Queensland,6745185,6.745
2018-19,South Australia,186696,0.187
2018-19,Tasmania,239996,0.24
2018-19,Victoria,262644,0.263
2018-19,Western Australia,820891,0.821
2019-20,Australian Capital Territory,88278,0.088
2019-20,New South Wales,5434275,5.434
2019-20,Northern Territory,12565536,12.566
2019-20,Queensland,5909144,5.909
2019-20,South Australia,321918,0.322
2019-20,Tasmania,76769,0.077
2019-20,Victoria,1539074,1.539
2019-20,Western Australia,1374363,1.374
2020-21,Australian Capital Territory,276,0.0
2020-21,New South Wales,69403,0.069
2020-21,Northern Territory,10698700,10.699
2020-21,Queensland,4208169,4.208
2020-21,South Australia,36524,0.037
2020-21,Tasmania,27026,0.027
2020-21,Victoria,78801,0.079
2020-21,Western Australia,332109,0.332
