season,state,area_ha,area_Mha,rank
2016-17,New South Wales,289727,0.29,4
2016-17,Northern Territory,11911645,11.912,1
2016-17,Queensland,7525259,7.525,2
2016-17,South Australia,36130,0.036,7
2016-17,Tasmania,63768,0.064,5
2016-17,Victoria,60905,0.061,6
2016-17,Western Australia,1060987,1.061,3
2017-18,New South Wales,299364,0.299,4
2017-18,Northern Territory,29842669,29.843,1
2017-18,Queensland,5935390,5.935,2
2017-18,South Australia,140618,0.141,5
2017-18,Tasmania,49923,0.05,7
2017-18,Victoria,94509,0.095,6
2017-18,Western Australia,745200,0.745,3
2018-19,New South Wales,274264,0.274,4
2018-19,Northern Territory,18306379,18.306,1
2018-19,Queensland,6745185,6.745,2
2018-19,South Australia,186696,0.187,7
2018-19,Tasmania,239996,0.24,6
2018-19,Victoria,262644,0.263,5
2018-19,Western Australia,820891,0.821,3
2019-20,New South Wales,5434275,5.434,3
2019-20,Northern Territory,12565536,12.566,1
2019-20,Queensland,5909144,5.909,2
2019-20,South Australia,321918,0.322,6
2019-20,Tasmania,76769,0.077,8
2019-20,Victoria,1539074,1.539,4
2019-20,Western Australia,1374363,1.374,5
2020-21,New South Wales,69403,0.069,5
2020-21,Northern Territory,10698700,10.699,1
2020-21,Queensland,4208169,4.208,2
2020-21,South Australia,36524,0.037,6
2020-21,Tasmania,27026,0.027,7
2020-21,Victoria,78801,0.079,4
2020-21,Western Australia,332109,0.332,3
